Natural language processing
language processing refers
processing refers to
refers to the
to the branch
the branch of
branch of computer
of computer science
computer science and
science and more
and more specifically,
more specifically, the
specifically, the branch
the branch of
branch of artificial
of artificial intelligence
artificial intelligence or
intelligence or AI—concerned
or AI—concerned with
AI—concerned with giving
with giving computers
giving computers the
computers the ability
the ability to
ability to understand
to understand human
understand human languages
human languages in
languages in the
in the form
the form of
form of text
of text and
text and spoken
and spoken words
spoken words in
words in much
in much the
much the same
the same way
same way human
way human beings
human beings can
NLP combines computational
combines computational linguistics—rule-based
computational linguistics—rule-based modeling
linguistics—rule-based modeling of
modeling of human
of human language—with
human language—with statistical,
language—with statistical, machine
statistical, machine learning,
machine learning, and
learning, and deep
and deep learning
deep learning models
Together, these technologies
these technologies enable
technologies enable computers
enable computers to
computers to process
to process human
process human language
human language in
language in the
in the form
the form of
form of text
of text or
text or voice
or voice data
voice data and
data and to
and to 'understand'
to 'understand' its
'understand' its full
its full meaning,
full meaning, complete
meaning, complete with
complete with the
with the speaker
the speaker or
speaker or writer's
or writer's intent
writer's intent and
intent and sentiment
NLP drives computer
drives computer programs
computer programs that
programs that translate
that translate text
translate text from
text from one
from one language
one language to
language to another,
to another, respond
another, respond to
respond to spoken
to spoken commands,
spoken commands, and
commands, and summarize
and summarize large
summarize large volumes
large volumes of
volumes of text
of text rapidly—even
text rapidly—even in
rapidly—even in real
in real time
There's a good
a good chance
good chance you've
chance you've interacted
you've interacted with
interacted with NLP
with NLP in
NLP in the
in the form
the form of
form of voice-operated
of voice-operated GPS
voice-operated GPS systems,
GPS systems, digital
systems, digital assistants,
digital assistants, speech-to-text
assistants, speech-to-text dictation
speech-to-text dictation software,
dictation software, customer
software, customer service
customer service chatbots,
service chatbots, and
chatbots, and other
and other consumer
other consumer conveniences
But NLP also
NLP also plays
also plays a
plays a growing
a growing role
growing role in
role in enterprise
in enterprise solutions
enterprise solutions that
solutions that help
that help streamline
help streamline business
streamline business operations,
business operations, increase
operations, increase employee
increase employee productivity,
employee productivity, and
productivity, and simplify
and simplify mission-critical
simplify mission-critical business
mission-critical business processes
