Natural language
language processing
processing refers
refers to
to the
the branch
branch of
of computer
computer science
science and
and more
more specifically,
specifically, the
the branch
branch of
of artificial
artificial intelligence
intelligence or
or AI—concerned
AI—concerned with
with giving
giving computers
computers the
the ability
ability to
to understand
understand human
human languages
languages in
in the
the form
form of
of text
text and
and spoken
spoken words
words in
in much
much the
the same
same way
way human
human beings
beings can
NLP combines
combines computational
computational linguistics—rule-based
linguistics—rule-based modeling
modeling of
of human
human language—with
language—with statistical,
statistical, machine
machine learning,
learning, and
and deep
deep learning
learning models
Together, these
these technologies
technologies enable
enable computers
computers to
to process
process human
human language
language in
in the
the form
form of
of text
text or
or voice
voice data
data and
and to
to 'understand'
'understand' its
its full
full meaning,
meaning, complete
complete with
with the
the speaker
speaker or
or writer's
writer's intent
intent and
and sentiment
NLP drives
drives computer
computer programs
programs that
that translate
translate text
text from
from one
one language
language to
to another,
another, respond
respond to
to spoken
spoken commands,
commands, and
and summarize
summarize large
large volumes
volumes of
of text
text rapidly—even
rapidly—even in
in real
real time
There's a
a good
good chance
chance you've
you've interacted
interacted with
with NLP
NLP in
in the
the form
form of
of voice-operated
voice-operated GPS
GPS systems,
systems, digital
digital assistants,
assistants, speech-to-text
speech-to-text dictation
dictation software,
software, customer
customer service
service chatbots,
chatbots, and
and other
other consumer
consumer conveniences
But NLP
NLP also
also plays
plays a
a growing
growing role
role in
in enterprise
enterprise solutions
solutions that
that help
help streamline
streamline business
business operations,
operations, increase
increase employee
employee productivity,
productivity, and
and simplify
simplify mission-critical
mission-critical business
business processes
